site_id,site_name,state,latitude,longitude,sample_date,characteristic,result_value,unit
USGS-412922081442303,,,,,2018-08-30,Turbidity,9.9,NTRU
USGS-412922081442303,,,,,2018-08-30,Wave height,1.5,ft
USGS-412928081560220,,,,,2018-07-07,"Temperature, water",21.6,deg C
USGS-412928081560220,,,,,2018-07-07,Escherichia coli,470.0,MPN/100 ml
USGS-412928081560220,,,,,2018-07-07,Turbidity,110.0,NTRU
USGS-412928081560220,,,,,2018-07-07,Wave height,3.3,ft
USGS-412922081442303,,,,,2018-07-18,"Temperature, water",24.6,deg C
USGS-412922081442303,,,,,2018-07-18,Escherichia coli,25.0,MPN/100 ml
USGS-412922081442303,,,,,2018-07-18,Turbidity,9.7,NTRU
USGS-412922081442303,,,,,2018-07-18,Wave height,1.3,ft
USGS-412928081560220,,,,,2018-05-26,"Temperature, water",19.6,deg C
USGS-412928081560220,,,,,2018-05-26,Escherichia coli,26.0,MPN/100 ml
USGS-412928081560220,,,,,2018-05-26,Turbidity,12.0,NTRU
USGS-412928081560220,,,,,2018-05-26,Wave height,0.2,ft
USGS-04208000,,,,,2018-07-23,Stream width measure,75.0,ft
USGS-04208000,,,,,2018-07-23,Turbidity,3.9,NTRU
USGS-04208000,,,,,2018-07-23,"Temperature, water",24.9,deg C
USGS-04208000,,,,,2018-07-23,"Stream flow, instantaneous",257.0,ft3/s
USGS-04208000,,,,,2018-07-23,Number of sampling points,10.0,count
USGS-04208000,,,,,2018-07-23,"Height, gage",2.85,ft
USGS-04208000,,,,,2018-07-23,Specific conductance,984.0,uS/cm @25C
USGS-04208000,,,,,2018-07-23,Oxygen,10.8,mg/l
USGS-04208000,,,,,2018-07-23,pH,8.6,std units
USGS-04208000,,,,,2018-07-23,"Height, gage",0.87,m
USGS-04208000,,,,,2018-07-23,"Stream flow, instantaneous",7.3,m3/sec
USGS-04208000,,,,,2018-07-23,Fluoranthene,0.01,ug/l
USGS-04208000,,,,,2018-07-23,Atrazine,0.12,ug/l
USGS-04208000,,,,,2018-07-23,"Tris(1,3-dichloro-2-propyl)phosphate",0.19,ug/l
USGS-04208000,,,,,2018-07-23,"N,N-Diethyl-m-toluamide",0.07,ug/l
USGS-04208000,,,,,2018-07-23,Coprosterol,0.2,ug/l
USGS-04208000,,,,,2018-07-23,Anthraquinone,0.05,ug/l
USGS-04208000,,,,,2018-07-23,Benzophenone,0.07,ug/l
USGS-04208000,,,,,2018-07-23,Cholesterol,0.7,ug/l
USGS-04208000,,,,,2018-07-23,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",0.11,ug/l
USGS-04208000,,,,,2018-07-23,Atrazine,67.2,ng/l
USGS-04208000,,,,,2018-07-23,Tris(2-butoxyethyl) phosphate,0.22,ug/l
USGS-04208000,,,,,2018-07-23,Decafluorobiphenyl,75.7,%
USGS-04208000,,,,,2018-07-23,Fluoranthene-d10,105.0,%
USGS-04208000,,,,,2018-07-23,Bupropion,12.0,ng/l
USGS-04208000,,,,,2018-07-23,Caffeine,28.2,ng/l
USGS-04208000,,,,,2018-07-23,Carbamazepine,53.8,ng/l
USGS-04208000,,,,,2018-07-23,Cotinine,16.4,ng/l
USGS-04208000,,,,,2018-07-23,"Ethanamine, 2-(diphenylmethoxy)-N,N-dimethyl-",4.49,ng/l
USGS-04208000,,,,,2018-07-23,Sulfamethoxazole,183.0,ng/l
USGS-04208000,,,,,2018-07-23,Trimethoprim,19.9,ng/l
USGS-04208000,,,,,2018-07-23,Pseudoephedrine/Ephedrine mix,14.5,ng/l
USGS-04208000,,,,,2018-07-23,"Acetamide, 2-(diethylamino)-N-(2,6-dimethylphenyl)-",92.0,ng/l
USGS-04208000,,,,,2018-07-23,Meprobamate,11.3,ng/l
USGS-04208000,,,,,2018-07-23,Dextromethorphan,4.75,ng/l
USGS-04208000,,,,,2018-07-23,Triamterene,18.2,ng/l
USGS-04208000,,,,,2018-07-23,Fluconazole,42.9,ng/l
USGS-04208000,,,,,2018-07-23,Acyclovir,93.3,ng/l
USGS-04208000,,,,,2018-07-23,Loratadine,0.81,ng/l
USGS-04208000,,,,,2018-07-23,Metformin,881.0,ng/l
USGS-04208000,,,,,2018-07-23,"Morphinan-6-one, 4,5-epoxy-14-hydroxy-3-methoxy-17-methyl-, (5.alpha.)-",8.91,ng/l
USGS-04208000,,,,,2018-07-23,Methadone,2.06,ng/l
USGS-04208000,,,,,2018-07-23,Methocarbamol,92.5,ng/l
USGS-04208000,,,,,2018-07-23,Atenolol,53.9,ng/l
USGS-04208000,,,,,2018-07-23,Citalopram,8.29,ng/l
USGS-04208000,,,,,2018-07-23,Fexofenadine,275.0,ng/l
USGS-04208000,,,,,2018-07-23,Tolyl triazole,1710.0,ng/l
USGS-04208000,,,,,2018-07-23,Propranol,5.05,ng/l
USGS-04208000,,,,,2018-07-23,Tramadol,77.9,ng/l
USGS-04208000,,,,,2018-07-23,Diltiazem,16.7,ng/l
USGS-04208000,,,,,2018-07-23,Metoprolol,64.3,ng/l
USGS-04208000,,,,,2018-07-23,Sitagliptin,90.7,ng/l
USGS-04208000,,,,,2018-07-23,Venlafaxine,66.8,ng/l
USGS-04208000,,,,,2018-07-23,Desmethylvenlafaxine,103.0,ng/l
USGS-04208000,,,,,2018-07-23,Metolachlor,0.03,ug/l
USGS-04208000,,,,,2018-07-23,Lorazepam-D4,106.0,%
USGS-04208000,,,,,2018-07-23,Oxazepam-d5,112.0,%
USGS-04208000,,,,,2018-07-23,Tamoxifen-d5,153.0,%
USGS-04208000,,,,,2018-07-23,Caffeine-d9,92.6,%
USGS-04208000,,,,,2018-07-23,Bisphenol A-d14,0.0,%
USGS-04208000,,,,,2018-07-23,Thiabendazole-d4,96.3,%
USGS-04208000,,,,,2018-07-23,Albuterol-d9,103.0,%
USGS-04208000,,,,,2018-07-23,Diltiazem-d3,93.9,%
USGS-04208000,,,,,2018-07-23,Trimethoprim-d9,86.3,%
USGS-04208000,,,,,2018-07-23,Acetaminophen-d3,145.0,%
USGS-04208000,,,,,2018-07-23,Norfluoxetine-d6,99.7,%
USGS-04208000,,,,,2018-07-23,Methadone-d9,94.7,%
USGS-04208000,,,,,2018-07-23,Oxycodone-d3,114.0,%
USGS-04208000,,,,,2018-07-23,Hydrocodone-d3,93.8,%
USGS-04208000,,,,,2018-07-23,Temazepam-d5,97.9,%
USGS-04208000,,,,,2018-07-23,Caffeine-trimethyl-13C3,96.1,%
USGS-04208000,,,,,2018-07-23,Sulfamethoxazole-13C6,135.0,%
USGS-04208000,,,,,2018-07-23,Cotinine-d3,89.5,%
USGS-04208000,,,,,2018-07-23,Amphetamine-d6,86.5,%
USGS-04208000,,,,,2018-07-23,Codeine-d6,108.0,%
USGS-04208000,,,,,2018-07-23,Pseudoephedrine-d3,86.1,%
USGS-04208000,,,,,2018-07-23,Diphenhydramine-d3,103.0,%
USGS-04208000,,,,,2018-07-23,Fluoxetine-d6,81.5,%
